subject	state	block	R_peak	T_delay
002	RS	01	1.042	0.478
002	RS	01	1.72	0.391
002	RS	01	2.397	0.498
002	RS	01	3.102	0.158
002	RS	01	3.846	0.489
002	RS	01	4.605	0.451
002	RS	01	5.409	0.485
002	RS	01	6.223	0.112
002	RS	01	7.002	0.124
002	RS	01	7.766	0.107
002	RS	01	8.502	0.113
002	RS	01	9.225	0.128
002	RS	01	9.926	0.488
002	RS	01	10.634	0.499
002	RS	01	11.372	0.105
002	RS	01	12.145	0.492
002	RS	01	12.934	0.122
002	RS	01	13.743	0.472
002	RS	01	14.539	0.362
002	RS	01	15.331	0.109
002	RS	01	16.108	0.471
002	RS	01	16.838	0.101
002	RS	01	17.537	0.101
002	RS	01	18.217	0.11
002	RS	01	18.905	0.488
002	RS	01	19.636	0.496
002	RS	01	20.45	0.107
002	RS	01	21.305	0.345
002	RS	01	22.152	0.117
002	RS	01	22.931	0.461
002	RS	01	23.671	0.102
002	RS	01	24.398	0.133
002	RS	01	25.139	0.499
002	RS	01	25.91	0.495
002	RS	01	26.708	0.101
002	RS	01	27.506	0.102
002	RS	01	28.268	0.1
002	RS	01	28.998	0.32
002	RS	01	29.681	0.112
002	RS	01	30.358	0.108
002	RS	01	31.028	0.484
002	RS	01	31.728	0.131
002	RS	01	32.475	0.495
002	RS	01	33.291	0.499
002	RS	01	34.142	0.142
002	RS	01	34.903	0.308
002	RS	01	35.633	0.115
002	RS	01	36.34	0.107
002	RS	01	37.019	0.114
002	RS	01	37.678	0.105
002	RS	01	38.344	0.146
002	RS	01	39.02	0.47
002	RS	01	39.738	0.115
002	RS	01	40.502	0.11
002	RS	01	41.278	0.428
002	RS	01	42.062	0.107
002	RS	01	42.802	0.102
002	RS	01	43.5	0.429
002	RS	01	44.2	0.353
002	RS	01	44.925	0.484
002	RS	01	45.684	0.465
002	RS	01	46.482	0.464
002	RS	01	47.311	0.492
002	RS	01	48.158	0.497
002	RS	01	48.979	0.108
002	RS	01	49.76	0.132
002	RS	01	50.501	0.1
002	RS	01	51.247	0.467
002	RS	01	51.99	0.141
002	RS	01	52.735	0.443
002	RS	01	53.491	0.101
002	RS	01	54.211	0.468
002	RS	01	54.898	0.116
002	RS	01	55.583	0.108
002	RS	01	56.283	0.488
002	RS	01	57.019	0.103
002	RS	01	57.803	0.488
002	RS	01	58.622	0.108
002	RS	01	59.425	0.341
002	RS	01	60.205	0.1
002	RS	01	60.953	0.106
002	RS	01	61.649	0.486
002	RS	01	62.339	0.496
002	RS	01	63.042	0.141
002	RS	01	63.77	0.497
002	RS	01	64.544	0.102
002	RS	01	65.346	0.139
002	RS	01	66.141	0.128
002	RS	01	66.889	0.102
002	RS	01	67.614	0.363
002	RS	01	68.305	0.146
002	RS	01	69.024	0.124
002	RS	01	69.764	0.102
002	RS	01	70.513	0.458
002	RS	01	71.262	0.448
002	RS	01	72.03	0.108
002	RS	01	72.757	0.103
002	RS	01	73.435	0.112
002	RS	01	74.082	0.45
002	RS	01	74.73	0.1
002	RS	01	75.378	0.486
002	RS	01	76.077	0.45
002	RS	01	76.852	0.498
002	RS	01	77.641	0.112
002	RS	01	78.358	0.314
002	RS	01	79.023	0.107
002	RS	01	79.662	0.386
002	RS	01	80.283	0.108
002	RS	01	80.905	0.102
002	RS	01	81.548	0.482
002	RS	01	82.232	0.497
002	RS	01	82.935	0.102
002	RS	01	83.653	0.357
002	RS	01	84.393	0.101
002	RS	01	85.113	0.112
002	RS	01	85.774	0.452
002	RS	01	86.431	0.1
002	RS	01	87.09	0.111
002	RS	01	87.748	0.12
002	RS	01	88.405	0.109
002	RS	01	89.051	0.109
002	RS	01	89.699	0.472
002	RS	01	90.384	0.446
002	RS	01	91.092	0.415
002	RS	01	91.832	0.432
002	RS	01	92.596	0.41
002	RS	01	93.362	0.112
002	RS	01	94.112	0.113
002	RS	01	94.823	0.109
002	RS	01	95.524	0.464
002	RS	01	96.232	0.101
002	RS	01	96.945	0.427
002	RS	01	97.68	0.472
002	RS	01	98.406	0.102
002	RS	01	99.138	0.436
002	RS	01	99.898	0.467
002	RS	01	100.688	0.123
002	RS	01	101.477	0.128
002	RS	01	102.222	0.448
002	RS	01	102.944	0.485
002	RS	01	103.678	0.443
002	RS	01	104.414	0.112
002	RS	01	105.178	0.112
002	RS	01	105.98	0.495
002	RS	01	106.784	0.482
002	RS	01	107.542	0.104
002	RS	01	108.297	0.1
002	RS	01	109.047	0.103
002	RS	01	109.802	0.452
002	RS	01	110.58	0.448
002	RS	01	111.342	0.491
002	RS	01	112.098	0.173
002	RS	01	112.834	0.1
002	RS	01	113.539	0.474
002	RS	01	114.238	0.1
002	RS	01	114.928	0.12
002	RS	01	115.658	0.1
002	RS	01	116.424	0.308
002	RS	01	117.293	0.321
002	RS	01	118.177	0.314
002	RS	01	119.045	0.464
002	RS	01	119.843	0.499
002	RS	01	120.588	0.492
002	RS	01	121.294	0.102
002	RS	01	121.98	0.105
002	RS	01	122.679	0.493
002	RS	01	123.398	0.478
002	RS	01	124.15	0.107
002	RS	01	124.921	0.492
002	RS	01	125.721	0.312
002	RS	01	126.511	0.105
002	RS	01	127.272	0.102
002	RS	01	127.992	0.481
002	RS	01	128.682	0.112
002	RS	01	129.363	0.393
002	RS	01	130.062	0.498
002	RS	01	130.798	0.475
002	RS	01	131.566	0.352
002	RS	01	132.325	0.136
002	RS	01	133.058	0.102
002	RS	01	133.73	0.109
002	RS	01	134.375	0.438
002	RS	01	135.012	0.12
002	RS	01	135.661	0.48
002	RS	01	136.348	0.105
002	RS	01	137.085	0.468
002	RS	01	137.862	0.132
002	RS	01	138.642	0.129
002	RS	01	139.394	0.105
002	RS	01	140.089	0.11
002	RS	01	140.772	0.485
002	RS	01	141.45	0.499
002	RS	01	142.146	0.456
002	RS	01	142.862	0.499
002	RS	01	143.611	0.488
002	RS	01	144.381	0.1
002	RS	01	145.153	0.123
002	RS	01	145.863	0.111
002	RS	01	146.539	0.462
002	RS	01	147.22	0.102
002	RS	01	147.928	0.491
002	RS	01	148.686	0.1
002	RS	01	149.488	0.11
002	RS	01	150.268	0.115
002	RS	01	151.028	0.101
002	RS	01	151.722	0.105
002	RS	01	152.388	0.116
002	RS	01	153.041	0.102
002	RS	01	153.693	0.102
002	RS	01	154.381	0.482
002	RS	01	155.137	0.105
002	RS	01	155.878	0.138
002	RS	01	156.586	0.111
002	RS	01	157.308	0.104
002	RS	01	158.043	0.488
002	RS	01	158.768	0.102
002	RS	01	159.437	0.106
002	RS	01	160.111	0.491
002	RS	01	160.798	0.487
002	RS	01	161.485	0.482
002	RS	01	162.176	0.391
002	RS	01	162.841	0.131
002	RS	01	163.497	0.132
002	RS	01	164.148	0.443
002	RS	01	164.812	0.119
002	RS	01	165.488	0.101
002	RS	01	166.204	0.162
002	RS	01	166.96	0.128
002	RS	01	167.732	0.102
002	RS	01	168.512	0.1
002	RS	01	169.238	0.116
002	RS	01	169.911	0.114
002	RS	01	170.581	0.314
002	RS	01	171.262	0.104
002	RS	01	171.955	0.494
002	RS	01	172.677	0.103
002	RS	01	173.422	0.105
002	RS	01	174.17	0.382
002	RS	01	174.862	0.113
002	RS	01	175.519	0.111
002	RS	01	176.186	0.105
002	RS	01	176.864	0.445
002	RS	01	177.57	0.463
002	RS	01	178.29	0.483
002	RS	01	178.982	0.379
002	RS	01	179.634	0.128
002	RS	01	180.266	0.32
002	RS	01	180.896	0.442
002	RS	01	181.535	0.1
002	RS	01	182.194	0.444
002	RS	01	182.921	0.114
002	RS	01	183.721	0.138
002	RS	01	184.513	0.108
002	RS	01	185.296	0.104
002	RS	01	186.043	0.292
002	RS	01	186.76	0.102
002	RS	01	187.448	0.135
002	RS	01	188.157	0.499
002	RS	01	188.892	0.31
002	RS	01	189.682	0.101
002	RS	01	190.489	0.499
002	RS	01	191.292	0.372
002	RS	01	192.092	0.469
002	RS	01	192.851	0.108
002	RS	01	193.566	0.498
002	RS	01	194.288	0.472
002	RS	01	195.023	0.1
002	RS	01	195.805	0.296
002	RS	01	196.603	0.102
002	RS	01	197.398	0.467
002	RS	01	198.168	0.1
002	RS	01	198.913	0.115
002	RS	01	199.624	0.123
002	RS	01	200.316	0.481
002	RS	01	201.0	0.144
002	RS	01	201.758	0.495
002	RS	01	202.588	0.369
002	RS	01	203.448	0.102
002	RS	01	204.314	0.498
002	RS	01	205.164	0.486
002	RS	01	206.009	0.1
002	RS	01	206.822	0.109
002	RS	01	207.571	0.102
002	RS	01	208.268	0.488
002	RS	01	208.946	0.128
002	RS	01	209.629	0.342
002	RS	01	210.352	0.495
002	RS	01	211.148	0.1
002	RS	01	211.984	0.428
002	RS	01	212.816	0.321
002	RS	01	213.609	0.104
002	RS	01	214.36	0.492
002	RS	01	215.062	0.112
002	RS	01	215.739	0.139
002	RS	01	216.415	0.499
002	RS	01	217.132	0.101
002	RS	01	217.941	0.113
002	RS	01	218.793	0.48
002	RS	01	219.635	0.104
002	RS	01	220.449	0.104
002	RS	01	221.178	0.118
002	RS	01	221.863	0.471
002	RS	01	222.534	0.479
002	RS	01	223.218	0.38
002	RS	01	223.916	0.102
002	RS	01	224.668	0.109
002	RS	01	225.391	0.101
002	RS	01	226.075	0.361
002	RS	01	226.743	0.11
002	RS	01	227.405	0.133
002	RS	01	228.092	0.467
002	RS	01	228.786	0.112
002	RS	01	229.489	0.347
002	RS	01	230.201	0.1
002	RS	01	230.885	0.1
002	RS	01	231.57	0.494
002	RS	01	232.281	0.1
002	RS	01	233.0	0.499
002	RS	01	233.772	0.321
002	RS	01	234.562	0.115
002	RS	01	235.346	0.1
002	RS	01	236.088	0.115
002	RS	01	236.812	0.472
002	RS	01	237.545	0.497
002	RS	01	238.297	0.488
002	RS	01	239.077	0.488
002	RS	01	239.886	0.1
002	RS	01	240.657	0.471
002	RS	01	241.387	0.496
002	RS	01	242.114	0.102
002	RS	01	242.856	0.106
002	RS	01	243.617	0.105
002	RS	01	244.413	0.371
002	RS	01	245.221	0.446
002	RS	01	246.029	0.1
002	RS	01	246.797	0.1
002	RS	01	247.548	0.418
002	RS	01	248.312	0.498
002	RS	01	249.088	0.345
002	RS	01	249.871	0.498
002	RS	01	250.657	0.434
002	RS	01	251.398	0.128
002	RS	01	252.117	0.101
002	RS	01	252.843	0.499
002	RS	01	253.588	0.496
002	RS	01	254.351	0.473
002	RS	01	255.125	0.499
002	RS	01	255.903	0.428
002	RS	01	256.66	0.109
002	RS	01	257.379	0.105
002	RS	01	258.086	0.102
002	RS	01	258.82	0.471
002	RS	01	259.591	0.316
002	RS	01	260.382	0.484
002	RS	01	261.185	0.101
002	RS	01	261.958	0.49
002	RS	01	262.692	0.113
002	RS	01	263.394	0.112
002	RS	01	264.082	0.494
002	RS	01	264.799	0.132
002	RS	01	265.538	0.387
002	RS	01	266.316	0.499
002	RS	01	267.112	0.121
002	RS	01	267.888	0.102
002	RS	01	268.61	0.104
002	RS	01	269.296	0.46
002	RS	01	269.963	0.47
002	RS	01	270.641	0.1
002	RS	01	271.341	0.483
002	RS	01	272.122	0.113
002	RS	01	272.938	0.115
002	RS	01	273.714	0.144
002	RS	01	274.443	0.496
002	RS	01	275.16	0.111
002	RS	01	275.885	0.118
002	RS	01	276.609	0.104
002	RS	01	277.318	0.101
002	RS	01	277.978	0.402
002	RS	01	278.657	0.121
002	RS	01	279.353	0.467
002	RS	01	280.058	0.323
002	RS	01	280.77	0.41
002	RS	01	281.443	0.116
002	RS	01	282.106	0.128
002	RS	01	282.757	0.104
002	RS	01	283.396	0.378
002	RS	01	284.048	0.156
002	RS	01	284.742	0.119
002	RS	01	285.508	0.498
002	RS	01	286.309	0.494
002	RS	01	287.104	0.498
002	RS	01	287.888	0.11
002	RS	01	288.636	0.108
002	RS	01	289.347	0.116
002	RS	01	290.025	0.118
002	RS	01	290.673	0.298
002	RS	01	291.313	0.459
002	RS	01	291.968	0.492
002	RS	01	292.675	0.467
002	RS	01	293.454	0.49
002	RS	01	294.273	0.475
002	RS	01	295.083	0.358
002	RS	01	295.912	0.122
002	RS	01	296.672	0.109
002	RS	01	297.396	0.122
002	RS	01	298.098	0.121
002	RS	01	298.81	0.1
002	RS	01	299.536	0.499
002	RS	01	300.292	0.471
002	RS	01	301.084	0.481
002	RS	01	301.872	0.11
002	RS	01	302.607	0.109
002	RS	01	303.296	0.102
002	RS	01	303.963	0.457
002	RS	01	304.619	0.463
002	RS	01	305.29	0.438
002	RS	01	305.983	0.108
002	RS	01	306.739	0.104
002	RS	01	307.55	0.492
002	RS	01	308.347	0.382
002	RS	01	309.134	0.104
002	RS	01	309.864	0.482
002	RS	01	310.557	0.465
002	RS	01	311.24	0.422
002	RS	01	311.925	0.492
002	RS	01	312.618	0.108
002	RS	01	313.341	0.102
002	RS	01	314.01	0.435
002	RS	01	314.694	0.104
002	RS	01	315.402	0.119
002	RS	01	316.091	0.115
002	RS	01	316.765	0.481
002	RS	01	317.46	0.498
002	RS	01	318.161	0.13
002	RS	01	318.868	0.101
002	RS	01	319.579	0.469
002	RS	01	320.252	0.1
002	RS	01	320.905	0.127
002	RS	01	321.542	0.102
002	RS	01	322.188	0.442
002	RS	01	322.835	0.11
002	RS	01	323.526	0.122
002	RS	01	324.225	0.1
002	RS	01	324.932	0.112
002	RS	01	325.606	0.108
002	RS	01	326.257	0.429
002	RS	01	326.904	0.106
002	RS	01	327.559	0.114
002	RS	01	328.238	0.494
002	RS	01	328.968	0.485
002	RS	01	329.728	0.1
002	RS	01	330.482	0.488
002	RS	01	331.188	0.13
002	RS	01	331.887	0.104
002	RS	01	332.602	0.114
002	RS	01	333.332	0.102
002	RS	01	334.062	0.445
002	RS	01	334.771	0.497
002	RS	01	335.481	0.105
002	RS	01	336.2	0.413
002	RS	01	336.928	0.479
002	RS	01	337.678	0.436
002	RS	01	338.444	0.458
002	RS	01	339.194	0.113
002	RS	01	339.923	0.488
002	RS	01	340.681	0.492
002	RS	01	341.456	0.479
002	RS	01	342.237	0.114
002	RS	01	343.032	0.1
002	RS	01	343.772	0.48
002	RS	01	344.48	0.498
002	RS	01	345.173	0.378
002	RS	01	345.902	0.492
002	RS	01	346.688	0.105
002	RS	01	347.539	0.479
002	RS	01	348.43	0.102
002	RS	01	349.296	0.102
002	RS	01	350.094	0.105
002	RS	01	350.826	0.1
002	RS	01	351.568	0.104
002	RS	01	352.313	0.484
002	RS	01	353.099	0.378
002	RS	01	353.917	0.444
002	RS	01	354.717	0.101
002	RS	01	355.454	0.488
002	RS	01	356.207	0.118
002	RS	01	356.986	0.472
002	RS	01	357.796	0.322
002	RS	01	358.604	0.115
002	RS	01	359.365	0.118
002	RS	01	360.059	0.121
002	RS	01	360.751	0.471
002	RS	01	361.456	0.102
002	RS	01	362.192	0.408
002	RS	01	362.972	0.485
002	RS	01	363.772	0.111
002	RS	01	364.536	0.102
002	RS	01	365.27	0.486
002	RS	01	365.997	0.486
002	RS	01	366.726	0.433
002	RS	01	367.483	0.488
002	RS	01	368.274	0.104
002	RS	01	369.038	0.498
002	RS	01	369.74	0.442
002	RS	01	370.415	0.311
002	RS	01	371.099	0.499
002	RS	01	371.802	0.499
002	RS	01	372.552	0.335
002	RS	01	373.338	0.124
002	RS	01	374.112	0.463
002	RS	01	374.821	0.106
002	RS	01	375.526	0.13
002	RS	01	376.242	0.103
002	RS	01	376.982	0.499
002	RS	01	377.779	0.484
002	RS	01	378.618	0.481
002	RS	01	379.457	0.49
002	RS	01	380.259	0.102
002	RS	01	381.038	0.497
002	RS	01	381.802	0.462
002	RS	01	382.576	0.109
002	RS	01	383.366	0.1
002	RS	01	384.178	0.443
002	RS	01	384.948	0.108
002	RS	01	385.698	0.485
002	RS	01	386.443	0.107
002	RS	01	387.204	0.322
002	RS	01	388.042	0.499
002	RS	01	388.865	0.119
002	RS	01	389.632	0.108
002	RS	01	390.353	0.108
002	RS	01	391.074	0.141
002	RS	01	391.818	0.488
002	RS	01	392.632	0.445
002	RS	01	393.474	0.102
002	RS	01	394.27	0.106
002	RS	01	395.017	0.488
002	RS	01	395.75	0.451
002	RS	01	396.499	0.102
002	RS	01	397.263	0.452
002	RS	01	398.028	0.497
002	RS	01	398.758	0.107
002	RS	01	399.471	0.107
002	RS	01	400.16	0.499
002	RS	01	400.869	0.124
002	RS	01	401.6	0.303
002	RS	01	402.402	0.105
002	RS	01	403.208	0.1
002	RS	01	403.948	0.1
002	RS	01	404.649	0.119
002	RS	01	405.366	0.114
002	RS	01	406.092	0.131
002	RS	01	406.832	0.113
002	RS	01	407.591	0.1
002	RS	01	408.348	0.459
002	RS	01	409.043	0.122
002	RS	01	409.728	0.101
002	RS	01	410.446	0.485
002	RS	01	411.169	0.122
002	RS	01	411.875	0.47
002	RS	01	412.553	0.43
002	RS	01	413.272	0.1
002	RS	01	414.011	0.1
002	RS	01	414.736	0.369
002	RS	01	415.462	0.107
002	RS	01	416.144	0.4
002	RS	01	416.818	0.132
002	RS	01	417.5	0.45
002	RS	01	418.198	0.493
002	RS	01	418.965	0.105
002	FA	02	0.894	0.492
002	FA	02	1.616	0.152
002	FA	02	2.368	0.481
002	FA	02	3.082	0.106
002	FA	02	3.782	0.112
002	FA	02	4.513	0.102
002	FA	02	5.264	0.118
002	FA	02	6.049	0.14
002	FA	02	6.853	0.101
002	FA	02	7.618	0.12
002	FA	02	8.342	0.115
002	FA	02	9.069	0.103
002	FA	02	9.804	0.112
002	FA	02	10.555	0.124
002	FA	02	11.331	0.119
002	FA	02	12.121	0.436
002	FA	02	12.893	0.483
002	FA	02	13.629	0.11
002	FA	02	14.342	0.102
002	FA	02	15.067	0.132
002	FA	02	15.794	0.105
002	FA	02	16.548	0.488
002	FA	02	17.303	0.36
002	FA	02	18.032	0.108
002	FA	02	18.752	0.491
002	FA	02	19.51	0.102
002	FA	02	20.282	0.1
002	FA	02	21.103	0.102
002	FA	02	21.927	0.126
002	FA	02	22.703	0.102
002	FA	02	23.452	0.11
002	FA	02	24.205	0.494
002	FA	02	24.957	0.109
002	FA	02	25.718	0.114
002	FA	02	26.473	0.483
002	FA	02	27.18	0.462
002	FA	02	27.922	0.1
002	FA	02	28.669	0.1
002	FA	02	29.438	0.47
002	FA	02	30.223	0.485
002	FA	02	30.976	0.113
002	FA	02	31.746	0.103
002	FA	02	32.537	0.108
002	FA	02	33.343	0.447
002	FA	02	34.157	0.108
002	FA	02	34.962	0.493
002	FA	02	35.732	0.497
002	FA	02	36.468	0.499
002	FA	02	37.185	0.104
002	FA	02	37.925	0.446
002	FA	02	38.672	0.102
002	FA	02	39.457	0.1
002	FA	02	40.252	0.102
002	FA	02	41.046	0.497
002	FA	02	41.808	0.122
002	FA	02	42.545	0.117
002	FA	02	43.313	0.322
002	FA	02	44.085	0.101
002	FA	02	44.892	0.342
002	FA	02	45.693	0.103
002	FA	02	46.479	0.102
002	FA	02	47.193	0.123
002	FA	02	47.892	0.102
002	FA	02	48.596	0.305
002	FA	02	49.326	0.454
002	FA	02	50.112	0.102
002	FA	02	50.93	0.105
002	FA	02	51.702	0.48
002	FA	02	52.445	0.492
002	FA	02	53.181	0.476
002	FA	02	53.936	0.489
002	FA	02	54.703	0.1
002	FA	02	55.476	0.107
002	FA	02	56.185	0.321
002	FA	02	56.878	0.102
002	FA	02	57.567	0.498
002	FA	02	58.283	0.122
002	FA	02	59.032	0.106
002	FA	02	59.824	0.122
002	FA	02	60.644	0.497
002	FA	02	61.422	0.123
002	FA	02	62.152	0.132
002	FA	02	62.856	0.493
002	FA	02	63.556	0.105
002	FA	02	64.257	0.103
002	FA	02	64.975	0.1
002	FA	02	65.732	0.113
002	FA	02	66.448	0.479
002	FA	02	67.178	0.41
002	FA	02	67.873	0.495
002	FA	02	68.566	0.102
002	FA	02	69.286	0.104
002	FA	02	70.016	0.112
002	FA	02	70.708	0.462
002	FA	02	71.383	0.412
002	FA	02	72.049	0.138
002	FA	02	72.737	0.112
002	FA	02	73.441	0.108
002	FA	02	74.167	0.104
002	FA	02	74.92	0.129
002	FA	02	75.639	0.11
002	FA	02	76.361	0.105
002	FA	02	77.088	0.102
002	FA	02	77.814	0.317
002	FA	02	78.551	0.102
002	FA	02	79.297	0.11
002	FA	02	80.01	0.123
002	FA	02	80.697	0.105
002	FA	02	81.367	0.464
002	FA	02	82.047	0.105
002	FA	02	82.754	0.13
002	FA	02	83.532	0.112
002	FA	02	84.338	0.478
002	FA	02	85.131	0.121
002	FA	02	85.855	0.108
002	FA	02	86.548	0.486
002	FA	02	87.247	0.385
002	FA	02	87.958	0.134
002	FA	02	88.712	0.444
002	FA	02	89.492	0.105
002	FA	02	90.255	0.477
002	FA	02	90.946	0.407
002	FA	02	91.615	0.472
002	FA	02	92.292	0.463
002	FA	02	92.965	0.101
002	FA	02	93.692	0.122
002	FA	02	94.516	0.101
002	FA	02	95.338	0.418
002	FA	02	96.107	0.127
002	FA	02	96.842	0.497
002	FA	02	97.603	0.1
002	FA	02	98.368	0.488
002	FA	02	99.15	0.33
002	FA	02	99.914	0.468
002	FA	02	100.648	0.112
002	FA	02	101.334	0.399
002	FA	02	102.007	0.388
002	FA	02	102.685	0.112
002	FA	02	103.369	0.107
002	FA	02	104.074	0.125
002	FA	02	104.813	0.487
002	FA	02	105.549	0.149
002	FA	02	106.289	0.473
002	FA	02	106.968	0.112
002	FA	02	107.631	0.452
002	FA	02	108.292	0.11
002	FA	02	108.961	0.323
002	FA	02	109.657	0.45
002	FA	02	110.4	0.437
002	FA	02	111.15	0.101
002	FA	02	111.84	0.101
002	FA	02	112.552	0.414
002	FA	02	113.277	0.122
002	FA	02	113.989	0.452
002	FA	02	114.716	0.129
002	FA	02	115.418	0.122
002	FA	02	116.079	0.315
002	FA	02	116.739	0.448
002	FA	02	117.421	0.482
002	FA	02	118.117	0.316
002	FA	02	118.859	0.352
002	FA	02	119.595	0.314
002	FA	02	120.296	0.474
002	FA	02	120.982	0.487
002	FA	02	121.689	0.496
002	FA	02	122.422	0.449
002	FA	02	123.203	0.162
002	FA	02	123.985	0.462
002	FA	02	124.716	0.107
002	FA	02	125.42	0.114
002	FA	02	126.132	0.102
002	FA	02	126.842	0.105
002	FA	02	127.55	0.499
002	FA	02	128.268	0.126
002	FA	02	129.007	0.102
002	FA	02	129.705	0.489
002	FA	02	130.397	0.118
002	FA	02	131.083	0.499
002	FA	02	131.787	0.146
002	FA	02	132.533	0.499
002	FA	02	133.342	0.109
002	FA	02	134.122	0.427
002	FA	02	134.855	0.355
002	FA	02	135.565	0.132
002	FA	02	136.282	0.335
002	FA	02	136.993	0.104
002	FA	02	137.723	0.115
002	FA	02	138.433	0.123
002	FA	02	139.119	0.101
002	FA	02	139.84	0.114
002	FA	02	140.579	0.119
002	FA	02	141.348	0.151
002	FA	02	142.136	0.1
002	FA	02	142.902	0.1
002	FA	02	143.603	0.351
002	FA	02	144.306	0.108
002	FA	02	145.022	0.118
002	FA	02	145.758	0.338
002	FA	02	146.525	0.151
002	FA	02	147.285	0.129
002	FA	02	147.996	0.318
002	FA	02	148.697	0.143
002	FA	02	149.413	0.148
002	FA	02	150.142	0.1
002	FA	02	150.899	0.107
002	FA	02	151.658	0.103
002	FA	02	152.373	0.322
002	FA	02	153.072	0.49
002	FA	02	153.818	0.11
002	FA	02	154.545	0.481
002	FA	02	155.299	0.105
002	FA	02	156.06	0.499
002	FA	02	156.811	0.484
002	FA	02	157.504	0.119
002	FA	02	158.184	0.324
002	FA	02	158.868	0.138
002	FA	02	159.551	0.495
002	FA	02	160.246	0.398
002	FA	02	160.931	0.113
002	FA	02	161.619	0.111
002	FA	02	162.324	0.324
002	FA	02	163.042	0.128
002	FA	02	163.727	0.116
002	FA	02	164.405	0.1
002	FA	02	165.088	0.402
002	FA	02	165.782	0.326
002	FA	02	166.486	0.318
002	FA	02	167.209	0.12
002	FA	02	167.928	0.105
002	FA	02	168.601	0.113
002	FA	02	169.273	0.1
002	FA	02	169.961	0.388
002	FA	02	170.668	0.498
002	FA	02	171.442	0.343
002	FA	02	172.238	0.37
002	FA	02	173.006	0.104
002	FA	02	173.706	0.122
002	FA	02	174.375	0.458
002	FA	02	175.041	0.112
002	FA	02	175.71	0.158
002	FA	02	176.426	0.103
002	FA	02	177.179	0.1
002	FA	02	177.955	0.1
002	FA	02	178.725	0.11
002	FA	02	179.468	0.105
002	FA	02	180.171	0.103
002	FA	02	180.871	0.498
002	FA	02	181.588	0.111
002	FA	02	182.332	0.355
002	FA	02	183.127	0.451
002	FA	02	183.934	0.458
002	FA	02	184.731	0.118
002	FA	02	185.447	0.102
002	FA	02	186.128	0.103
002	FA	02	186.816	0.102
002	FA	02	187.512	0.463
002	FA	02	188.238	0.1
002	FA	02	188.989	0.487
002	FA	02	189.728	0.102
002	FA	02	190.42	0.103
002	FA	02	191.098	0.102
002	FA	02	191.788	0.489
002	FA	02	192.481	0.1
002	FA	02	193.22	0.119
002	FA	02	193.983	0.497
002	FA	02	194.75	0.348
002	FA	02	195.5	0.102
002	FA	02	196.216	0.102
002	FA	02	196.92	0.441
002	FA	02	197.648	0.102
002	FA	02	198.382	0.115
002	FA	02	199.164	0.336
002	FA	02	199.972	0.369
002	FA	02	200.747	0.489
002	FA	02	201.472	0.311
002	FA	02	202.194	0.488
002	FA	02	202.913	0.105
002	FA	02	203.652	0.464
002	FA	02	204.394	0.499
002	FA	02	205.152	0.1
002	FA	02	205.874	0.109
002	FA	02	206.582	0.122
002	FA	02	207.312	0.127
002	FA	02	208.065	0.119
002	FA	02	208.86	0.101
002	FA	02	209.645	0.1
002	FA	02	210.363	0.492
002	FA	02	211.061	0.1
002	FA	02	211.786	0.141
002	FA	02	212.524	0.499
002	FA	02	213.273	0.127
002	FA	02	214.037	0.108
002	FA	02	214.784	0.123
002	FA	02	215.48	0.462
002	FA	02	216.163	0.126
002	FA	02	216.852	0.122
002	FA	02	217.549	0.119
002	FA	02	218.258	0.432
002	FA	02	219.012	0.155
002	FA	02	219.76	0.446
002	FA	02	220.51	0.113
002	FA	02	221.202	0.138
002	FA	02	221.876	0.472
002	FA	02	222.557	0.134
002	FA	02	223.258	0.474
002	FA	02	223.976	0.492
002	FA	02	224.714	0.159
002	FA	02	225.443	0.126
002	FA	02	226.122	0.102
002	FA	02	226.786	0.101
002	FA	02	227.444	0.112
002	FA	02	228.106	0.1
002	FA	02	228.772	0.308
002	FA	02	229.479	0.123
002	FA	02	230.227	0.49
002	FA	02	230.968	0.383
002	FA	02	231.692	0.498
002	FA	02	232.429	0.155
002	FA	02	233.176	0.108
002	FA	02	233.92	0.497
002	FA	02	234.678	0.112
002	FA	02	235.388	0.108
002	FA	02	236.075	0.113
002	FA	02	236.76	0.1
002	FA	02	237.46	0.102
002	FA	02	238.168	0.487
002	FA	02	238.902	0.116
002	FA	02	239.629	0.487
002	FA	02	240.322	0.497
002	FA	02	241.036	0.114
002	FA	02	241.763	0.483
002	FA	02	242.483	0.115
002	FA	02	243.207	0.166
002	FA	02	243.885	0.405
002	FA	02	244.55	0.105
002	FA	02	245.226	0.132
002	FA	02	245.913	0.101
002	FA	02	246.624	0.45
002	FA	02	247.395	0.458
002	FA	02	248.177	0.498
002	FA	02	248.912	0.115
002	FA	02	249.605	0.108
002	FA	02	250.312	0.498
002	FA	02	251.036	0.134
002	FA	02	251.774	0.482
002	FA	02	252.522	0.102
002	FA	02	253.256	0.1
002	FA	02	253.938	0.478
002	FA	02	254.625	0.101
002	FA	02	255.319	0.1
002	FA	02	256.02	0.115
002	FA	02	256.758	0.132
002	FA	02	257.52	0.112
002	FA	02	258.249	0.148
002	FA	02	258.941	0.492
002	FA	02	259.634	0.122
002	FA	02	260.337	0.494
002	FA	02	261.067	0.11
002	FA	02	261.794	0.107
002	FA	02	262.498	0.451
002	FA	02	263.263	0.144
002	FA	02	264.015	0.104
